,ID,Name,Frequency [MHz],Bandwidth [kHz]/Baud,Status,Description,Source,Orbit
373,45465,AEHF 6 (USA 298),None,None,Active,nan,Space-Track,GEO
374,36868,AEHF-1 (USA 214),None,None,Active,None,CelesTrak,GEO
375,38254,AEHF-2 (USA 235),None,None,Active,None,CelesTrak,GEO
376,39256,AEHF-3,None,None,None,None,UCS,GEO
377,39256,AEHF-3 (USA 246),None,None,Active,None,CelesTrak,GEO
378,43651,AEHF-4,None,None,None,None,UCS,GEO
379,43651,AEHF-4 (USA 288),None,None,Active,None,CelesTrak,GEO
380,44481,AEHF-5,None,None,None,None,UCS,GEO
381,44481,AEHF-5 (USA 292),None,None,Active,None,CelesTrak,GEO
382,45465,AEHF-6,None,None,None,None,UCS,GEO
383,45465,AEHF-6 (USA 298),None,None,Active,None,CelesTrak,GEO
384,38254,AEHF-USA 2,None,None,None,None,UCS,GEO
385,38760,AENEAS,None,None,Active,nan,Space-Track,LEO
386,38760,AENEAS,437.6,1200.0,active,TLM AFSK,SatNOGS,None
387,38760,AENEAS,437.6,None,Inactive,1200bps AFSK,AmSAT,None
388,43861,AEROCUBE 11-EAGLESCOUT,None,None,Active,nan,Space-Track,LEO
389,43849,AEROCUBE 11-R3,None,None,Active,nan,Space-Track,LEO
